source,transformed,type,status,reason
metformin,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
repaglinide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
nateglinide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
chlorpropamide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
glimepiride,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
acetohexamide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
glipizide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
glyburide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
tolbutamide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
pioglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
rosiglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
acarbose,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
miglitol,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
troglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
tolazamide,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
examide,none,categorical,Excluded,Constant
citoglipton,none,categorical,Excluded,Constant
insulin,insulin,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
glyburide-metformin,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
glipizide-metformin,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
glimepiride-pioglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
metformin-rosiglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
metformin-pioglitazone,active/changed diabetes drug-field counts,categorical,Sensitivity derivation only,Count documented status fields; do not interpret as independent ingredients or change events
change,change,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
diabetesMed,diabetesMed,categorical,Sensitivity only,Billing/result/full-stay finalization time unverified
readmitted,none,categorical,Excluded,Original outcome: direct leakage
readmitted_lt30,y only,binary target,Excluded from predictors,Validated target; direct leakage if used as X
"number_inpatient, number_emergency, number_outpatient",total_prior_utilization,numeric,Primary engineered candidate,Fixed encounter-local arithmetic; raw-count ablation tests joint added value
number_inpatient,any_prior_inpatient,binary,Primary engineered candidate,Fixed encounter-local arithmetic; raw-count ablation tests joint added value
number_emergency,any_prior_emergency,binary,Primary engineered candidate,Fixed encounter-local arithmetic; raw-count ablation tests joint added value
number_outpatient,any_prior_outpatient,binary,Primary engineered candidate,Fixed encounter-local arithmetic; raw-count ablation tests joint added value
21 nonconstant drug-status columns,active_diabetes_drug_fields,numeric,Sensitivity only,Active = Steady/Up/Down; changed = Up/Down; No counts zero
21 nonconstant drug-status columns,changed_diabetes_drug_fields,numeric,Sensitivity only,Active = Steady/Up/Down; changed = Up/Down; No counts zero
