variable,group,source_role,meaning,raw_dtype,cohort_dtype,semantic_type,raw_cardinality,cohort_cardinality,raw_question_marks,raw_unknown_pct,cohort_unknown_count,cohort_unknown_pct,cohort_not_measured_count,cohort_observed_values,identifier,leakage_review,availability_at_discharge,preliminary_model_exclusion,treatment
metformin,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
repaglinide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
nateglinide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
chlorpropamide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glimepiride,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
acetohexamide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glipizide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glyburide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
tolbutamide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
pioglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
rosiglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
acarbose,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
miglitol,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
troglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
tolazamide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,3,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
examide,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,1,1,0,0.0,0,0.0,0,No,False,"excluded: constant, not leakage",In-stay treatment may be known; source aggregation cutoff unverified,True,Exclude from modeling; keep original field for source audit.
citoglipton,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,1,1,0,0.0,0,0.0,0,No,False,"excluded: constant, not leakage",In-stay treatment may be known; source aggregation cutoff unverified,True,Exclude from modeling; keep original field for source audit.
insulin,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glyburide-metformin,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,4,4,0,0.0,0,0.0,0,"Down, No, Steady, Up",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glipizide-metformin,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
glimepiride-pioglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
metformin-rosiglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
metformin-pioglitazone,medications,Feature,"The feature indicates whether the drug was prescribed or there was a change in the dosage. Values: up if the dosage was increased during the encounter, down if the dosage was decreased, steady if the dosage did not change, and no if the drug was not prescribed",str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Steady",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
change,medications,Feature,Indicates if there was a change in diabetic medications (either dosage or generic name). Values: change and no change,str,str,Categorical,2,2,0,0.0,0,0.0,0,"Ch, No",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
diabetesMed,medications,Feature,Indicates if there was any diabetic medication prescribed. Values: yes and no,str,str,Categorical,2,2,0,0.0,0,0.0,0,"No, Yes",False,questionable: full-stay reconstruction,In-stay treatment may be known; source aggregation cutoff unverified,False,Keep categorical; separate No from missing; no treatment-effect claims.
readmitted,outcome,Target,"Days to inpatient readmission. Values: <30 if the patient was readmitted in less than 30 days, >30 if the patient was readmitted in more than 30 days, and No for no record of readmission.",str,str,Categorical,3,3,0,0.0,0,0.0,0,"<30, >30, NO",False,excluded: direct target leakage,No: requires post-discharge follow-up,True,Outcome only; exclude from every predictor matrix.
